id,syllable,words,complexword,nounPhraseCount,JJ,RB,VB,NN,complexity,Class_Label
160,17,12,1,0,1,1,3,3,80.895,Easy
161,11,8,0,1,1,1,0,2,86.45,Easy
162,41,26,4,5,3,0,3,11,60.232,Plain_English
163,33,27,0,2,4,0,6,5,89.733,Very_Easy
164,50,27,7,4,2,1,6,8,36.466,Dificult
165,45,25,5,4,1,4,4,17,41.868,Dificult
166,30,19,3,1,1,0,5,4,63.614,Plain_English
167,33,19,2,3,4,0,1,6,50.256,Fairly_difficult
168,29,19,2,2,1,1,4,6,68.066,Plain_English
169,42,24,5,1,1,0,5,8,46.605,Dificult
170,34,22,3,3,1,0,3,9,64.925,Plain_English
171,49,27,7,1,1,3,7,8,39.599,Dificult
172,22,14,2,2,2,0,2,5,66.787,Plain_English
173,39,28,3,2,5,4,3,9,74.789,Fairly_Easy
174,37,19,5,2,2,1,2,8,32.445,Dificult
175,61,34,7,5,4,0,5,11,37.798,Dificult
176,26,17,3,4,3,0,2,6,68.819,Plain_English
177,34,22,3,3,4,0,2,8,64.925,Plain_English
178,10,8,0,0,0,0,3,2,97.025,Very_Easy
179,34,18,6,4,0,0,3,12,37.9,Dificult
180,26,17,3,2,1,0,4,6,68.819,Plain_English
181,27,17,3,2,0,1,3,6,63.843,Plain_English
182,40,20,5,1,3,0,1,8,27.485,very_difficult
183,42,25,4,2,0,0,4,10,52.02,Fairly_difficult
184,30,15,5,3,2,0,3,6,30.023,Dificult
185,28,19,3,1,0,2,4,5,72.519,Fairly_Easy
186,45,26,6,1,0,0,8,11,47.217,Dificult
187,41,20,8,2,3,0,5,8,23.255,very_difficult
188,48,28,6,4,2,1,6,8,47.596,Dificult
189,15,7,3,2,0,1,1,3,21.997,very_difficult
190,40,21,6,2,1,2,6,6,35.035,Dificult
191,38,24,4,1,1,0,6,7,60.705,Plain_English
192,29,17,2,2,4,0,3,4,53.89,Fairly_difficult
193,42,25,5,4,1,1,5,12,52.02,Fairly_difficult
194,27,14,5,1,0,1,2,5,36.573,Dificult
195,30,17,4,2,1,0,2,8,48.913,Dificult
196,45,26,7,2,1,0,4,9,47.217,Dificult
197,35,17,4,1,1,2,3,5,24.031,very_difficult
198,42,25,5,1,3,0,5,8,52.02,Fairly_difficult
199,32,19,3,0,1,2,4,4,54.708,Fairly_difficult
200,63,40,7,5,3,0,3,21,53.29,Fairly_difficult
201,45,27,5,3,3,1,3,13,52.133,Fairly_difficult
202,26,17,2,1,0,4,2,8,68.819,Plain_English
203,24,14,3,3,1,0,3,5,54.701,Fairly_difficult
204,31,19,3,1,2,0,7,4,59.161,Very_Easy
205,70,38,10,4,4,8,4,15,31.708,Dificult
206,24,15,2,0,0,1,5,3,63.863,Plain_English
207,50,25,8,2,0,3,7,8,24.948,very_difficult
208,36,17,6,2,0,1,4,6,19.055,very_difficult
209,24,15,2,0,1,2,4,3,63.863,Plain_English
210,25,15,3,1,0,2,3,3,58.223,Fairly_difficult
211,37,26,4,0,1,0,5,7,73.248,Fairly_Easy
212,36,18,6,1,2,2,6,4,28.5,very_difficult
213,40,21,4,3,2,1,5,6,35.035,Dificult
214,42,29,3,1,2,0,4,8,69.593,Very_Easy
215,32,21,3,2,4,0,4,5,67.263,Plain_English
216,46,25,5,3,1,0,4,12,38.484,Dificult
217,34,17,5,1,1,4,3,7,29.008,Very_Easy
218,50,35,3,4,2,0,7,13,68.215,Plain_English
219,36,23,4,2,2,2,6,6,62.745,Plain_English
220,29,17,3,1,1,0,3,6,53.89,Fairly_difficult
221,26,18,2,2,2,0,4,5,75.5,Fairly_Easy
222,36,24,2,3,2,1,4,7,67.755,Plain_English
223,60,40,7,3,2,1,11,12,59.635,Very_Easy
224,35,20,5,0,0,2,5,6,48.635,Dificult
225,40,21,6,2,2,1,2,9,35.035,Dificult
226,24,15,3,2,1,0,3,6,63.863,Plain_English
227,24,16,1,2,2,1,2,5,71.815,Fairly_Easy
228,33,20,3,4,1,0,3,9,57.095,Fairly_difficult
229,43,26,3,3,1,0,5,10,53.725,Fairly_difficult
230,29,20,2,1,1,1,5,5,74.015,Fairly_Easy
231,21,16,0,0,2,2,4,3,87.678,Easy
232,25,17,2,1,2,0,3,7,73.796,Fairly_Easy
233,22,15,2,2,2,0,2,6,75.143,Fairly_Easy
234,45,31,2,3,4,0,3,11,68.296,Plain_English
235,45,28,5,1,1,1,5,10,56.661,Fairly_difficult
236,42,31,1,3,4,0,6,10,76.483,Fairly_Easy
237,30,21,2,1,2,2,5,4,75.32,Fairly_Easy
238,17,12,0,0,0,0,4,4,80.895,Easy
239,36,22,4,2,2,2,4,9,57.234,Fairly_difficult
240,44,27,5,5,4,0,5,9,55.266,Fairly_difficult
241,25,21,0,2,3,5,1,5,95.463,Very_Easy
242,31,21,2,2,2,2,6,6,71.292,Fairly_Easy
243,27,16,4,2,0,0,2,7,55.953,Fairly_difficult
244,23,15,2,2,2,3,3,3,69.503,Very_Easy
245,38,23,6,0,1,4,6,4,55.389,Fairly_difficult
246,35,19,5,3,4,1,2,4,41.35,Dificult
247,46,25,5,3,1,0,3,14,38.484,Dificult
248,31,26,0,3,2,2,4,7,92.771,Very_Easy
249,24,12,5,1,2,1,2,4,31.545,Dificult
250,28,12,5,2,2,1,2,3,3.345,very_difficult
251,41,29,1,6,5,4,4,10,72.511,Fairly_Easy
252,18,14,0,0,0,1,1,5,90.959,Very_Easy
253,15,10,1,0,1,1,2,3,74.86,Fairly_Easy
254,25,15,2,3,0,0,2,7,58.223,Fairly_difficult
255,29,22,1,1,3,1,5,5,84.152,Easy
256,81,55,6,2,3,2,7,17,54.33,Fairly_difficult
257,24,16,2,3,1,1,2,7,71.815,Fairly_Easy
258,30,20,2,2,1,0,2,8,69.785,Very_Easy
259,35,19,4,4,2,0,3,10,41.35,Dificult
260,29,17,3,2,2,0,3,6,53.89,Fairly_difficult
261,27,17,1,1,1,0,2,3,63.843,Plain_English
262,29,22,2,3,3,4,4,6,84.152,Easy
263,54,29,8,5,3,0,4,12,34.586,Dificult
264,31,17,5,3,2,1,3,7,43.937,Dificult
265,39,23,6,3,5,0,4,7,51.71,Fairly_difficult
266,18,8,5,1,0,0,2,4,12.425,very_difficult
267,59,34,8,7,5,0,4,12,42.774,Dificult
268,48,25,4,5,3,1,3,11,31.716,Dificult
269,33,20,3,3,2,1,4,8,57.095,Fairly_difficult
270,65,36,7,6,3,1,6,14,35.815,Dificult
271,35,24,2,3,2,0,9,6,71.28,Fairly_Easy
272,29,18,2,1,3,2,2,4,61.4,Plain_English
273,28,21,1,0,0,0,4,8,83.378,Easy
274,43,24,5,3,1,1,5,10,43.08,Dificult
275,39,25,3,1,2,4,4,8,62.172,Plain_English
276,63,41,5,2,2,4,9,12,56.032,Fairly_difficult
277,36,26,1,3,3,0,5,9,76.502,Fairly_Easy
278,30,22,2,0,0,1,5,7,80.306,Easy
279,40,26,3,3,2,3,5,9,63.486,Plain_English
280,31,18,3,0,1,2,6,4,52,Fairly_difficult
281,51,32,7,3,3,2,5,12,55.764,Fairly_difficult
282,18,14,0,2,3,1,2,3,90.959,Very_Easy
283,15,9,2,2,0,0,2,5,61.268,Plain_English
284,46,33,2,3,2,1,5,12,72.16,Fairly_Easy
285,35,20,4,3,1,2,4,8,48.635,Dificult
286,50,33,4,3,2,4,4,11,61.906,Plain_English
287,36,23,4,2,2,0,5,10,62.745,Plain_English
288,46,28,4,1,2,0,4,10,53.639,Fairly_difficult
289,29,20,3,2,3,1,4,4,74.015,Fairly_Easy
290,29,15,4,1,0,4,3,4,35.663,Dificult
291,30,17,3,2,2,2,4,6,48.913,Dificult
292,22,15,0,0,2,0,2,5,75.143,Fairly_Easy
293,23,11,5,0,0,1,2,4,24.362,very_difficult
294,23,18,0,1,0,2,2,6,89.6,Very_Easy
295,57,43,3,3,1,2,10,12,72.868,Fairly_Easy
296,43,26,5,2,1,0,4,10,53.725,Fairly_difficult
297,11,7,1,0,0,0,1,3,70.34,Fairly_Easy
298,25,16,3,1,2,0,4,3,66.528,Plain_English
299,18,16,0,1,0,0,3,4,103.54,Very_Easy
300,37,26,2,4,0,0,6,13,73.248,Fairly_Easy
301,41,25,4,1,1,1,2,9,55.404,Fairly_difficult
302,30,18,3,2,1,0,5,7,56.7,Fairly_difficult
303,33,19,4,1,2,0,3,6,50.256,Fairly_difficult
304,72,43,9,5,4,0,7,14,43.357,Dificult
305,35,22,5,5,1,0,2,12,61.079,Plain_English
306,41,28,5,3,0,1,6,11,68.746,Plain_English
307,20,12,1,2,0,1,3,4,59.745,Very_Easy
308,14,8,3,0,2,1,2,1,54.725,Fairly_difficult
309,49,35,3,3,3,0,4,13,70.633,Fairly_Easy
310,49,32,5,1,1,1,7,8,61.051,Plain_English
311,30,22,2,2,5,0,3,5,80.306,Easy
312,26,18,2,2,1,0,3,7,75.5,Fairly_Easy
313,42,23,4,3,1,2,3,10,40.676,Dificult
314,25,17,2,3,1,1,1,9,73.796,Fairly_Easy
315,44,29,3,2,5,1,4,10,63.759,Plain_English
316,20,12,2,1,1,0,1,5,59.745,Very_Easy
317,39,21,6,2,1,1,6,7,39.063,Dificult
318,16,11,1,2,1,1,3,4,78.198,Fairly_Easy
319,36,23,5,4,2,0,2,10,62.745,Plain_English
320,30,18,4,2,3,1,2,6,56.7,Fairly_difficult
321,38,21,4,2,2,1,5,6,43.092,Dificult
322,25,19,2,1,1,2,4,6,85.877,Easy
323,37,23,4,2,0,0,3,10,59.067,Very_Easy
324,47,28,5,2,2,1,8,6,50.618,Fairly_difficult
325,52,29,7,2,2,3,4,10,40.421,Dificult
326,28,16,3,3,3,0,2,4,50.665,Fairly_difficult
327,42,23,7,3,1,1,5,9,40.676,Dificult
328,33,17,4,2,0,1,3,7,33.984,Dificult
329,28,13,5,1,1,2,3,4,18.022,very_difficult
330,48,31,5,4,5,1,6,8,60.109,Plain_English
331,30,17,5,1,1,0,2,8,48.913,Dificult
332,7,4,1,0,0,1,0,2,56.755,Fairly_difficult
333,17,11,2,0,3,0,3,0,70.507,Fairly_Easy
334,23,18,2,3,3,0,3,5,89.6,Very_Easy
335,56,31,9,4,7,0,2,10,38.277,Dificult
336,39,23,5,3,3,0,4,8,51.71,Fairly_difficult
337,23,13,3,2,1,1,3,6,50.561,Fairly_difficult
338,16,11,1,2,1,0,2,6,78.198,Fairly_Easy
339,34,24,2,2,1,0,2,8,74.805,Fairly_Easy
340,22,11,3,2,2,0,2,4,32.053,Dificult
341,11,6,1,0,1,0,1,2,48.69,Dificult
342,24,20,0,2,1,0,2,10,95.165,Very_Easy
343,8,5,1,0,1,4,1,1,68.938,Plain_English
344,31,21,3,3,2,0,2,9,71.292,Fairly_Easy
345,24,16,2,0,2,2,2,4,71.815,Fairly_Easy
346,23,15,3,2,1,1,1,7,69.503,Very_Easy
347,61,38,9,5,4,1,4,16,51.745,Fairly_difficult
348,27,16,3,1,2,2,4,4,55.953,Fairly_difficult
349,64,33,9,3,2,2,7,13,26.015,very_difficult
350,50,32,4,2,2,1,6,11,58.408,Fairly_difficult
351,28,17,3,1,3,0,2,5,58.866,Fairly_difficult
352,50,30,5,2,5,2,5,8,50.61,Fairly_difficult
353,27,20,0,1,1,2,2,6,82.475,Easy
354,34,20,3,4,3,0,3,9,52.865,Fairly_difficult
355,16,11,1,1,1,1,2,4,78.198,Fairly_Easy
356,41,26,3,2,1,2,5,7,60.232,Plain_English
357,36,23,4,4,1,0,4,13,62.745,Plain_English
358,41,23,4,4,2,0,2,9,44.354,Dificult
359,31,22,2,2,0,1,4,9,76.461,Fairly_Easy
360,35,18,4,2,1,1,1,10,33.2,Dificult
361,45,28,4,2,3,1,5,7,56.661,Fairly_difficult
362,38,25,3,4,3,0,4,7,65.556,Plain_English
363,17,12,1,2,1,4,4,4,80.895,Easy
364,37,24,4,2,2,2,4,6,64.23,Plain_English
365,29,18,3,1,0,2,4,9,61.4,Plain_English
366,38,22,5,3,2,0,3,8,49.543,Very_Easy
367,23,10,4,2,3,0,1,3,7.18,very_difficult
368,53,35,3,3,2,0,9,13,60.964,Plain_English
369,43,27,4,3,3,1,4,10,58.399,Fairly_difficult
370,24,17,1,0,0,1,3,5,78.772,Fairly_Easy
371,55,30,7,2,3,0,6,8,36.51,Dificult
372,16,11,1,0,0,1,3,2,78.198,Fairly_Easy
373,43,28,4,3,3,0,5,11,62.704,Plain_English
374,39,22,5,0,1,2,6,6,45.697,Dificult
375,17,12,1,0,0,0,2,4,80.895,Easy
376,24,17,2,1,1,1,3,3,78.772,Fairly_Easy
377,22,16,1,1,3,0,3,5,82.39,Easy
378,10,5,1,0,0,1,2,1,35.098,Dificult
379,9,7,1,0,0,1,3,0,94.511,Very_Easy
380,52,28,9,4,2,5,4,14,35.511,Dificult
381,39,19,6,3,1,8,2,13,23.54,very_difficult
382,16,10,1,1,1,0,2,2,66.4,Plain_English
383,22,15,2,2,1,0,2,6,75.143,Fairly_Easy
384,38,20,7,3,1,0,1,12,35.945,Dificult
385,38,25,1,3,2,0,5,8,65.556,Plain_English
386,28,23,1,1,2,0,5,4,92.171,Very_Easy
387,27,18,2,3,0,1,2,12,70.8,Fairly_Easy
388,35,17,5,2,2,3,4,3,24.031,very_difficult
389,54,35,6,3,0,2,5,15,58.547,Fairly_difficult
390,24,15,3,0,0,2,4,3,63.863,Plain_English
391,27,19,1,0,2,0,3,7,76.971,Fairly_Easy
392,33,22,2,4,3,1,2,9,68.77,Plain_English
393,41,23,6,3,3,0,2,10,44.354,Dificult
394,38,30,2,5,3,0,4,11,84.45,Easy
395,40,28,3,4,5,0,3,9,71.768,Fairly_Easy
396,27,16,4,1,1,1,4,6,55.953,Fairly_difficult
397,16,13,0,1,1,2,3,3,96.114,Very_Easy
398,46,27,6,2,0,2,5,10,48.999,Dificult
399,12,10,0,0,0,0,2,2,100.24,Very_Easy
400,29,17,4,1,0,2,4,6,53.89,Fairly_difficult
401,23,17,0,3,2,1,3,9,83.749,Easy
402,20,14,1,3,1,2,1,6,78.873,Fairly_Easy
403,17,9,2,2,0,2,0,5,42.468,Dificult
404,20,15,2,2,0,1,4,6,86.423,Easy
405,36,26,4,2,2,0,8,4,76.502,Fairly_Easy
406,11,6,1,1,0,0,1,4,48.69,Dificult
407,32,17,4,2,3,2,3,4,38.96,Dificult
408,37,21,6,2,1,1,2,10,47.12,Dificult
409,46,28,2,4,3,1,3,13,53.639,Fairly_difficult
410,33,18,3,2,1,4,2,9,42.6,Dificult
411,26,18,1,1,0,0,1,9,75.5,Fairly_Easy
412,14,12,0,2,1,0,2,5,102.045,Very_Easy
413,51,27,5,3,6,0,4,9,33.333,Dificult
414,45,29,6,3,5,0,5,10,60.842,Plain_English
415,25,15,4,2,1,0,3,7,58.223,Fairly_difficult
416,48,29,2,4,5,1,3,10,52.09,Fairly_difficult
417,41,27,5,3,1,1,6,9,64.666,Plain_English
418,49,28,6,4,4,0,5,12,44.575,Dificult
419,40,26,3,3,1,0,6,9,63.486,Plain_English
420,29,19,3,1,4,0,5,3,68.066,Plain_English
421,19,13,1,1,1,1,4,3,76.591,Fairly_Easy
422,37,18,6,2,1,1,4,6,23.8,very_difficult
423,31,19,3,2,0,0,3,10,59.161,Very_Easy
424,21,14,2,2,0,8,3,6,72.83,Fairly_Easy
425,30,17,4,1,1,1,4,6,48.913,Dificult
426,26,18,1,1,1,2,4,4,75.5,Fairly_Easy
427,35,21,4,3,2,1,4,8,55.178,Fairly_difficult
428,14,8,2,0,0,0,2,3,54.725,Fairly_difficult
429,49,30,6,3,4,2,7,7,53.43,Fairly_difficult
430,51,28,6,4,3,0,7,9,38.532,Dificult
431,26,18,2,1,0,1,4,4,75.5,Fairly_Easy
432,42,23,7,0,1,1,5,5,40.676,Dificult
433,30,17,4,1,1,1,3,5,48.913,Dificult
434,31,22,3,1,3,2,5,4,76.461,Fairly_Easy
435,28,18,3,0,1,0,5,6,66.1,Plain_English
436,38,18,7,4,1,1,2,7,19.1,very_difficult
437,42,22,7,2,3,1,6,5,34.161,Dificult
438,49,31,4,5,3,0,7,12,57.38,Fairly_difficult
439,29,19,2,3,4,0,1,6,68.066,Plain_English
440,21,18,1,1,2,0,3,8,99,Very_Easy
441,33,17,5,2,2,2,4,4,33.984,Dificult
442,21,15,2,1,1,1,2,7,80.783,Easy
443,36,26,3,2,3,1,3,11,76.502,Fairly_Easy
444,36,23,3,2,2,1,2,10,62.745,Plain_English
445,56,34,5,8,4,1,4,12,50.239,Fairly_difficult
446,30,25,1,2,2,1,3,7,92.628,Very_Easy
447,28,18,3,3,0,0,3,9,66.1,Plain_English
448,24,16,3,2,3,1,3,4,71.815,Fairly_Easy
449,51,37,3,4,3,3,6,12,71.447,Fairly_Easy
450,36,25,4,2,0,1,5,8,72.324,Fairly_Easy
451,47,26,6,5,4,0,4,8,40.709,Dificult
452,45,26,6,3,2,0,4,10,47.217,Dificult
453,44,26,4,3,6,1,5,5,50.471,Fairly_difficult
454,36,19,6,2,3,0,1,7,36.898,Dificult
455,45,29,4,5,6,1,5,8,60.842,Plain_English
456,31,21,1,3,2,1,3,8,71.292,Fairly_Easy
457,28,21,3,0,1,0,3,9,83.378,Easy
458,20,13,2,2,2,0,3,4,70.084,Fairly_Easy
459,26,15,3,3,3,0,2,6,52.583,Fairly_difficult
460,45,26,4,3,4,0,2,11,47.217,Dificult
461,32,20,3,2,5,1,3,4,61.325,Plain_English
462,36,20,4,3,5,1,4,5,44.405,Dificult
463,46,23,9,4,2,1,4,11,25.963,very_difficult
464,48,26,9,4,6,0,5,7,37.455,Dificult
465,37,18,7,4,2,0,3,10,23.8,very_difficult
466,10,8,0,0,1,1,3,1,97.025,Very_Easy
467,23,13,4,2,3,0,3,3,50.561,Fairly_difficult
468,24,14,3,2,2,0,2,6,54.701,Fairly_difficult
469,26,14,3,1,2,1,2,3,42.616,Dificult
470,20,13,2,0,0,3,3,2,70.084,Fairly_Easy
471,52,29,6,3,3,0,4,14,40.421,Dificult
472,40,25,4,3,0,4,3,10,58.787,Fairly_difficult
473,21,16,0,2,1,4,1,5,87.678,Easy
474,22,13,3,3,2,1,1,6,57.068,Fairly_difficult
475,25,21,0,2,3,0,2,8,95.463,Very_Easy
476,32,20,2,1,2,0,2,7,61.325,Plain_English
477,37,21,4,3,1,5,3,10,47.12,Dificult
478,33,18,3,1,1,2,5,5,42.6,Dificult
479,28,17,3,1,1,0,3,6,58.866,Fairly_difficult
480,43,26,6,2,2,1,3,8,53.725,Fairly_difficult
481,41,26,5,2,1,1,4,8,60.232,Plain_English
482,15,8,3,0,0,1,3,1,44.15,Dificult
483,34,17,7,2,2,1,2,6,29.008,Very_Easy
